Datum;Deaths 2020;Mean Deaths 2015-2019
2020-01-01;254;291
2020-01-02;299;290
2020-01-03;256;290
2020-01-04;272;278
2020-01-05;265;280
2020-01-06;285;271
2020-01-07;247;289
2020-01-08;290;283
2020-01-09;277;270
2020-01-10;252;277
2020-01-11;262;283
2020-01-12;274;284
2020-01-13;241;275
2020-01-14;267;271
2020-01-15;254;291
2020-01-16;253;284
2020-01-17;244;278
2020-01-18;302;273
2020-01-19;265;276
2020-01-20;230;280
2020-01-21;241;273
2020-01-22;265;278
2020-01-23;235;270
2020-01-24;251;273
2020-01-25;253;290
2020-01-26;253;269
2020-01-27;260;268
2020-01-28;276;265
2020-01-29;274;279
2020-01-30;269;267
2020-01-31;246;265
2020-02-01;276;276
2020-02-02;245;268
2020-02-03;241;281
2020-02-04;242;272
2020-02-05;241;266
2020-02-06;258;264
2020-02-07;244;276
2020-02-08;244;270
2020-02-09;258;274
2020-02-10;273;277
2020-02-11;254;272
2020-02-12;273;282
2020-02-13;244;277
2020-02-14;264;268
2020-02-15;256;268
2020-02-16;252;279
2020-02-17;268;277
2020-02-18;258;272
2020-02-19;264;289
2020-02-20;256;292
2020-02-21;227;291
2020-02-22;260;284
2020-02-23;242;289
2020-02-24;262;279
2020-02-25;262;288
2020-02-26;257;286
2020-02-27;255;271
2020-02-28;232;276
2020-02-29;244;49
2020-03-01;262;284
2020-03-02;239;277
2020-03-03;260;291
2020-03-04;288;289
2020-03-05;281;278
2020-03-06;249;289
2020-03-07;265;273
2020-03-08;239;265
2020-03-09;248;276
2020-03-10;257;271
2020-03-11;232;263
2020-03-12;258;268
2020-03-13;242;271
2020-03-14;244;265
2020-03-15;240;273
2020-03-16;292;268
2020-03-17;263;273
2020-03-18;253;258
2020-03-19;234;260
2020-03-20;276;267
2020-03-21;262;259
2020-03-22;270;259
2020-03-23;296;256
2020-03-24;278;254
2020-03-25;291;238
2020-03-26;295;265
2020-03-27;285;264
2020-03-28;262;259
2020-03-29;294;258
2020-03-30;329;266
2020-03-31;300;259
2020-04-01;322;259
2020-04-02;360;266
2020-04-03;351;261
2020-04-04;301;263
2020-04-05;354;251
2020-04-06;359;253
2020-04-07;321;270
2020-04-08;363;247
2020-04-09;326;242
2020-04-10;321;247
2020-04-11;306;237
2020-04-12;300;253
2020-04-13;287;257
2020-04-14;256;253
2020-04-15;186;243
